Designator,Mid X,Mid Y,Rotation,Layer
SW2,7.169996,47.400013,90.0,top
Y1,7.539996,15.190013,180.0,top
J3,1.8,50.0,0.0,top
D1,23.179996,39.010013,180.0,top
C22,15.469996,16.650013,-90.0,top
C18,19.979996,21.370013,0.0,top
C30,4.229996,48.840013,90.0,top
C8,18.219996,27.810013,90.0,top
C29,4.209996,8.320013,90.0,top
J1,31.409996,47.510013,90.0,top
C24,12.199996,35.150013,90.0,top
C27,20.799996,16.340013,0.0,top
D5,24.469996,49.620013,-90.0,top
Q1,23.109996,42.090013,0.0,top
U4,21.749996,18.420013,0.0,top
C33,32.489996,13.280013,-90.0,top
C6,4.869996,15.000013,90.0,top
R10,21.929996,33.070013,90.0,top
U3,8.849996,33.470013,0.0,top
R13,20.039996,9.180013,-90.0,top
R6,15.039996,29.740013,-90.0,top
R5,9.559996,47.190013,90.0,top
C11,9.31,26.15,90.0,top
R12,23.009996,49.560013,-90.0,top
C19,13.819996,29.700013,90.0,top
J4,34.92,1.74,180.0,top
R3,34.209996,39.620013,0.0,top
C7,18.979996,9.180013,90.0,top
C32,32.549996,28.560013,90.0,top
FB1,20.190006,27.810002,90.0,top
D7,22.289996,13.210013,180.0,top
R9,23.449996,33.070013,-90.0,top
R15,7.159996,36.490013,180.0,top
C9,8.27,26.15,90.0,top
C21,19.789996,25.080013,0.0,top
C14,8.77,21.37,180.0,top
R4,21.489996,47.390013,90.0,top
C28,3.87,28.7,90.0,top
D4,15.579996,40.550013,0.0,top
C10,14.809996,27.810013,90.0,top
R1,20.039996,38.180013,-90.0,top
R7,16.039996,29.740013,-90.0,top
R16,22.92,7.15,0.0,top
R11,7.539996,12.910013,180.0,top
C3,26.649996,41.330013,-90.0,top
C2,25.749996,36.040013,0.0,top
C1,29.619996,37.990013,0.0,top
R8,31.909996,38.000013,-90.0,top
U2,14.339996,22.370013,0.0,top
D3,34.179996,38.190013,180.0,top
C23,16.259996,27.810013,90.0,top
C4,10.239996,15.130013,-90.0,top
C12,13.819996,27.810013,90.0,top
D6,7.179996,43.800013,0.0,top
C16,14.479996,16.650013,-90.0,top
C20,17.239996,27.810013,90.0,top
J5,22.93,3.27,0.0,top
J6,14.35,3.26,0.0,top
D2,34.199996,41.030013,180.0,top
C31,32.509996,3.080013,90.0,top
IC1,25.777498,33.060004,-90.0,top
C25,22.709996,16.340013,180.0,top
P1,15.539996,48.190013,180.0,top
C26,24.469996,17.350013,90.0,top
SW1,16.37,10.27,90.0,top
R2,34.159996,42.420013,180.0,top
C5,25.829996,30.150013,180.0,top
R17,24.94,7.14,180.0,top
R14,7.159996,42.360013,0.0,top
U1,29.609996,41.150013,-90.0,top
C13,19.199996,27.810013,90.0,top
L1,28.979996,33.160013,-90.0,top
